YH0,YH,"L1N1|n_id:a,n_d:he,t:undef",,70,4796
YH1,YH,"L2N1|n_id:b,n_d:he,t:id,b_t:o/a,b_sc:L1N1",,4797,5034
YH2,YH,"L1N1|n_id:a,n_d:he,t:undef",,5035,5966
YH3,YH,"L2N1|n_id:b,n_d:he,t:id,b_t:o/a,b_sc:L1N1",,5967,6537
YH4,YH,"L1N1|n_id:a,n_d:he,t:undef",,6538,8092
YH5,YH,"L2N1|n_id:b,n_d:he,t:id,b_t:o/a,b_sc:L1N1",,8093,8954
YH6,YH,"L1N1|n_id:a,n_d:he,t:undef",,8955,9653
YH7,YH,"L2N1|n_id:b,n_d:he,t:id,b_t:o/a,b_sc:L1N1",,9655,9760
YH8,YH,"L1N1|n_id:a,n_d:he,t:undef",,9762,9874
YH9,YH,"L2N1|n_id:b,n_d:he,t:id,b_t:o/a,b_sc:L1N1",,9875,10085
YH10,YH,"L1N1|n_id:a,n_d:he,t:undef",,10086,14064
YH11,YH,"L2N1|n_id:b,n_d:he,t:id,b_t:o/a,b_sc:L1N1",,14065,14280
YH12,YH,"L1N1|n_id:a,n_d:he,t:undef",,14282,15889
JH0,JH,"L1N1|n_id:a,n_d:he,t:undef",,60,19871
JH1,JH,"L1N2|n_id:a,n_d:he,t:undef,b_t:o/a",,19872,22626
YH0,YH,"L1N1|n_id:a,n_d:he,t:undef,mi=L2N1",,60,1491
YH1,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,1492,3313
YH2,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,3314,3516
YH3,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,3517,5346
YH4,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,5347,5386
YH5,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,5387,5406
YH6,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,5407,5556
YH7,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,5557,9880
YH8,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,9881,10095
YH9,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,10096,10110
YH10,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,10111,10197
YH11,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,10198,11997
YH12,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,11998,12031
YH13,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,12032,12051
YH14,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,12052,12543
YH15,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,12544,12574
YH16,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,12575,12639
YH17,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,12640,12654
YH18,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,12655,12848
YH19,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,12849,12870
YH20,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,12871,12982
YH21,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,12983,13758
YH22,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,13759,13776
YH23,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,13777,14890
YH24,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,14891,14913
YH25,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,14914,15361
YH26,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,15362,15392
YH27,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,15393,15405
YH28,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,15406,15526
YH29,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,15527,16367
YH30,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,16368,16390
YH31,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,16391,16403
YH32,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,16404,16475
YH33,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,16476,18962
YH34,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,18963,19016
YH35,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,19017,19029
YH36,YH,"L3N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L2N1",,19030,19107
YH37,YH,"L2N1|n_id:a,n_d:he,t:undef,b_t:o/a,b_sc:L1N1",,19108,20035
YH38,YH,"L1N1|n_id:a,n_d:he,t:undef,mi=L2N1",,20036,20970
YH39,YH,"L4N1|n_id:a,n_d:he,t:id,b_t:i/v,b_sc:L1N1",,20971,22616
