CB0,CB,VOICE_3,,44,12068
CB1,CB,NARRATOR_0,,44,12068
CB2,CB,FOC_UNR,,44,12068
CB3,CB,TURN,,2606,2703
CB4,CB,CHARACTERS_0,,2606,2703
CB5,CB,CHARACTERS_0,,3662,3825
CB6,CB,TURN,,3662,3825
CB7,CB,CHARACTERS_0,,4404,5404
CB8,CB,TURN,,4404,4682
CB9,CB,NC,,4427,4445
CB10,CB,NC,,4686,4717
CB11,CB,TURN,,4719,5097
CB12,CB,NC,,5101,5263
CB13,CB,TURN,,5267,5404
CB14,CB,CHARACTERS_0,,6980,8324
CB15,CB,TURN,,6980,8324
CB16,CB,CHARACTERS_0,,8814,9960
CB17,CB,TURN,,8814,9960
CB18,CB,CHARACTERS_0,,11162,11645
CB19,CB,TURN,,11162,11337
CB20,CB,NC,,11341,11400
CB21,CB,TURN,,11404,11498
CB22,CB,NC,,11502,11521
CB23,CB,TURN,,11523,11645
MM0,MM,NARRATOR_0,,44,12068
MM1,MM,VOICE_3,,44,12068
MM2,MM,FOC_UNR,,44,12068
MM3,MM,NC,,2594,2602
MM4,MM,CHARACTERS_0,,2606,2703
MM5,MM,TURN,,2606,2703
MM6,MM,NC,,2943,2963
MM7,MM,CHARACTERS_0,,2967,3238
MM8,MM,TURN,,2967,3238
MM9,MM,NC,,3634,3658
MM10,MM,CHARACTERS_0,,3662,3825
MM11,MM,TURN,,3662,3825
MM12,MM,NC,,4391,4400
MM13,MM,CHARACTERS_0,,4404,5097
MM14,MM,TURN,,4404,4682
MM15,MM,NC,,4427,4446
MM16,MM,NC,,4686,4718
MM17,MM,TURN,,4719,5097
MM18,MM,NC,,5255,5263
MM19,MM,CHARACTERS_0,,5267,5404
MM20,MM,TURN,,5267,5404
MM21,MM,NC,,6930,6976
MM22,MM,CHARACTERS_0,,6980,8324
MM23,MM,TURN,,6980,8324
MM24,MM,NC,,8798,8810
MM25,MM,CHARACTERS_0,,8814,9960
MM26,MM,TURN,,8814,9960
MM27,MM,NC,,11129,11158
MM28,MM,TURN,,11162,11337
MM29,MM,CHARACTERS_0,,11163,11645
MM30,MM,NC,,11341,11400
MM31,MM,TURN,,11404,11498
MM32,MM,NC,,11502,11522
MM33,MM,TURN,,11524,11645
