CB0,CB,VOICE_3,,32,26191
CB1,CB,FOC_INT,,32,26191
CB2,CB,NARRATOR_0,,32,26191
CB3,CB,CHARACTERS_0,,1069,1300
CB4,CB,TURN,,1069,1087
CB5,CB,NC,,1090,1112
CB6,CB,TURN,,1114,1130
CB7,CB,TURN,,1134,1145
CB8,CB,TURN,,1149,1174
CB9,CB,TURN,,1178,1208
CB10,CB,TURN,,1212,1300
CB11,CB,CHARACTERS_0,,2143,2218
CB12,CB,TURN,,2143,2176
CB13,CB,TURN,,2180,2218
CB14,CB,CHARACTERS_0,,3441,3485
CB15,CB,TURN,,3441,3485
CB16,CB,CHARACTERS_0,,3615,3906
CB17,CB,TURN,,3615,3642
CB18,CB,TURN,,3646,3906
CB19,CB,NC,,3693,3708
CB20,CB,CHARACTERS_0,,4254,4490
CB21,CB,TURN,,4254,4340
CB22,CB,TURN,,4344,4490
CB23,CB,NC,,4410,4438
CB24,CB,CHARACTERS_0,,4621,4634
CB25,CB,TURN,,4621,4634
CB26,CB,CHARACTERS_0,,4689,4791
CB27,CB,TURN,,4689,4791
CB28,CB,CHARACTERS_0,,4861,4910
CB29,CB,TURN,,4861,4910
CB30,CB,CHARACTERS_0,,5228,5325
CB31,CB,TURN,,5228,5325
CB32,CB,NC,,5262,5293
CB33,CB,CHARACTERS_0,,5576,5609
CB34,CB,TURN,,5576,5609
CB35,CB,CHARACTERS_0,,5706,5908
CB36,CB,TURN,,5706,5866
CB37,CB,TURN,,5870,5898
CB38,CB,TURN,,5902,5908
CB39,CB,CHARACTERS_0,,6071,6136
CB40,CB,TURN,,6071,6084
CB41,CB,NC,,6085,6113
CB42,CB,TURN,,6117,6136
CB43,CB,CHARACTERS_0,,7067,7593
CB44,CB,TURN,,7067,7173
CB45,CB,NC,,7073,7095
CB46,CB,NC,,7174,7231
CB47,CB,TURN,,7235,7392
CB48,CB,TURN,,7396,7430
CB49,CB,NC,,7431,7445
CB50,CB,NC,,7450,7520
CB51,CB,TURN,,7521,7550
CB52,CB,NC,,7551,7553
CB53,CB,TURN,,7554,7572
CB54,CB,TURN,,7576,7593
