CB0,CB,foc_int,,43,22472
CB1,CB,voice_1,,43,22472
CB2,CB,narrator_0,,43,22472
CB3,CB,character_0,,955,975
CB4,CB,turn,,955,975
CB5,CB,turn,,11779,11944
CB6,CB,character_0,,11779,11944
CB7,CB,nc,,11788,11810
CB8,CB,character_0,,14249,14258
CB9,CB,turn,,14249,14258
CB10,CB,turn,,19833,19853
CB11,CB,character_0,,19833,19840
CB12,CB,nc,,19841,19844
CB13,CB,character_0,,19845,19853
MM0,MM,narrator_0,,43,22472
MM1,MM,voice_1,,43,22472
MM2,MM,foc_int,,43,22472
MM3,MM,nc,,11406,11427
MM4,MM,characters_0,,11428,11499
MM5,MM,turn,,11428,11499
MM6,MM,nc,,11558,11582
MM7,MM,turn,,11583,11645
MM8,MM,characters_0,,11583,11645
MM9,MM,turn,,11780,11944
MM10,MM,characters_0,,11780,11944
MM11,MM,nc,,11788,11811
