AS0,AS,1A1open,,32,3642
AS1,AS,2B2,,3646,3692
AS2,AS,1A1open,,3693,3709
AS3,AS,2B2,,3710,3906
AS4,AS,1A1open,,3910,10476
AS5,AS,3B3,,10477,10766
AS6,AS,3B4open,,10770,10796
AS7,AS,1A1open,,10797,10869
AS8,AS,3B4open,,10870,10917
AS9,AS,1A1open,,10918,10994
AS10,AS,3B4open,,10995,11124
AS11,AS,1A1open,,11128,11827
AS12,AS,4B5open,,11831,12087
AS13,AS,1A1open,,12091,12241
AS14,AS,4B5open,,12245,12266
AS15,AS,1A1open,,12267,12315
AS16,AS,4B5open,,12316,12375
AS17,AS,1A1open,,12379,15853
AS18,AS,5B6open,,15857,16068
AS19,AS,1A1open,,16072,16156
AS20,AS,6B4,,16160,16395
AS21,AS,1A1open,,16399,26191
DK0,DK,A1A,,32,1070
DK1,DK,2B2,,1071,1300
DK2,DK,A1A,,1304,1979
DK3,DK,2B2,,1983,3181
DK4,DK,3C3,,3185,5670
DK5,DK,4A4,,5674,26191
