AJ0,AJ,original,,43,22483
AJ1,AJ,embedded_1,,51,409
AJ2,AJ,embedded_1,,424,1124
AJ3,AJ,embedded_1,,1141,1956
AJ4,AJ,embedded_1,,1970,2585
AJ5,AJ,embedded_1,,2599,2957
AJ6,AJ,embedded_1,,2971,3226
AJ7,AJ,embedded_1,,3240,3675
AJ8,AJ,embedded_1,,3690,4094
AJ9,AJ,embedded_1,,4108,4811
AJ10,AJ,embedded_1,,4827,5726
AJ11,AJ,embedded_1,,5740,5755
AJ12,AJ,embedded_1,,5769,6171
AJ13,AJ,embedded_1,,6187,6612
AJ14,AJ,embedded_1,,6628,7449
AJ15,AJ,embedded_1,,7463,7478
AJ16,AJ,embedded_1,,7493,7693
AJ17,AJ,embedded_1,,7707,8207
AJ18,AJ,embedded_1,,8226,10661
AJ19,AJ,embedded_1,,10683,12054
AJ20,AJ,embedded_2,,11374,11778
AJ21,AJ,embedded_1,,12071,13662
AJ22,AJ,embedded_1,,13676,14116
AJ23,AJ,embedded_1,,14133,14899
AJ24,AJ,embedded_1,,14925,17013
AJ25,AJ,embedded_1,,17039,18434
AJ26,AJ,embedded_1,,18459,19149
AJ27,AJ,embedded_1,,19174,19560
AJ28,AJ,embedded_1,,19585,20571
AJ29,AJ,embedded_1,,20597,20856
AJ30,AJ,embedded_1,,20872,21803
AJ31,AJ,embedded_1,,21826,22472
MS0,MS,original,,43,22472
MS1,MS,embedded_1,,4827,5726
MS2,MS,embedded_1,,6628,6841
MS3,MS,embedded_1,,7056,7151
MS4,MS,embedded_1,,19585,19670
